"date","presetName","pusher","log2ParticleCount","log2SnapshotCount","time","particleCount","snapshotCount","query"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",2,5,2.9,4,32,"&particleCount=4&snapshotCount=32&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",2,6,5.9,4,64,"&particleCount=4&snapshotCount=64&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",2,7,17.3,4,128,"&particleCount=4&snapshotCount=128&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",2,8,26.1,4,256,"&particleCount=4&snapshotCount=256&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",2,9,41.4,4,512,"&particleCount=4&snapshotCount=512&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",2,10,73.3,4,1024,"&particleCount=4&snapshotCount=1024&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",3,1,0.5,8,2,"&particleCount=8&snapshotCount=2&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",3,2,0.7,8,4,"&particleCount=8&snapshotCount=4&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",3,3,1.4,8,8,"&particleCount=8&snapshotCount=8&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",3,4,2.7,8,16,"&particleCount=8&snapshotCount=16&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",3,5,5.7,8,32,"&particleCount=8&snapshotCount=32&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",3,6,16.2,8,64,"&particleCount=8&snapshotCount=64&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",3,7,25.2,8,128,"&particleCount=8&snapshotCount=128&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",3,8,40,8,256,"&particleCount=8&snapshotCount=256&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",3,9,81.4,8,512,"&particleCount=8&snapshotCount=512&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",3,10,122.6,8,1024,"&particleCount=8&snapshotCount=1024&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",4,1,0.7,16,2,"&particleCount=16&snapshotCount=2&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",4,2,1.2,16,4,"&particleCount=16&snapshotCount=4&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",4,3,2.5,16,8,"&particleCount=16&snapshotCount=8&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",4,4,5.9,16,16,"&particleCount=16&snapshotCount=16&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",4,5,16.3,16,32,"&particleCount=16&snapshotCount=32&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",4,6,25.2,16,64,"&particleCount=16&snapshotCount=64&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",4,7,39.2,16,128,"&particleCount=16&snapshotCount=128&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",4,8,68.1,16,256,"&particleCount=16&snapshotCount=256&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",4,9,120.2,16,512,"&particleCount=16&snapshotCount=512&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",4,10,229.8,16,1024,"&particleCount=16&snapshotCount=1024&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",5,1,1.4,32,2,"&particleCount=32&snapshotCount=2&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",5,2,2.9,32,4,"&particleCount=32&snapshotCount=4&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",5,3,5.4,32,8,"&particleCount=32&snapshotCount=8&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",5,4,14.4,32,16,"&particleCount=32&snapshotCount=16&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",5,5,23.9,32,32,"&particleCount=32&snapshotCount=32&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",5,6,40.3,32,64,"&particleCount=32&snapshotCount=64&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",5,7,67.7,32,128,"&particleCount=32&snapshotCount=128&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",5,8,118.6,32,256,"&particleCount=32&snapshotCount=256&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",5,9,228.6,32,512,"&particleCount=32&snapshotCount=512&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",5,10,370.3,32,1024,"&particleCount=32&snapshotCount=1024&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",6,1,1.7,64,2,"&particleCount=64&snapshotCount=2&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",6,2,4.8,64,4,"&particleCount=64&snapshotCount=4&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",6,3,16.2,64,8,"&particleCount=64&snapshotCount=8&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",6,4,25.4,64,16,"&particleCount=64&snapshotCount=16&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",6,5,37.9,64,32,"&particleCount=64&snapshotCount=32&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",6,6,67.5,64,64,"&particleCount=64&snapshotCount=64&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",6,7,118.7,64,128,"&particleCount=64&snapshotCount=128&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",6,8,220.3,64,256,"&particleCount=64&snapshotCount=256&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",6,9,379,64,512,"&particleCount=64&snapshotCount=512&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",6,10,683.6,64,1024,"&particleCount=64&snapshotCount=1024&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",7,1,2.7,128,2,"&particleCount=128&snapshotCount=2&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",7,2,9.4,128,4,"&particleCount=128&snapshotCount=4&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",7,3,21.2,128,8,"&particleCount=128&snapshotCount=8&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",7,4,35.7,128,16,"&particleCount=128&snapshotCount=16&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",7,5,67.7,128,32,"&particleCount=128&snapshotCount=32&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",7,6,117.1,128,64,"&particleCount=128&snapshotCount=64&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",7,7,221,128,128,"&particleCount=128&snapshotCount=128&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",7,8,381.1,128,256,"&particleCount=128&snapshotCount=256&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",7,9,674,128,512,"&particleCount=128&snapshotCount=512&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",7,10,1435.2,128,1024,"&particleCount=128&snapshotCount=1024&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",8,1,8.6,256,2,"&particleCount=256&snapshotCount=2&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",8,2,17.2,256,4,"&particleCount=256&snapshotCount=4&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",8,3,37.2,256,8,"&particleCount=256&snapshotCount=8&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",8,4,65.1,256,16,"&particleCount=256&snapshotCount=16&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",8,5,117.1,256,32,"&particleCount=256&snapshotCount=32&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",8,6,226.2,256,64,"&particleCount=256&snapshotCount=64&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",8,7,372.3,256,128,"&particleCount=256&snapshotCount=128&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",8,8,675,256,256,"&particleCount=256&snapshotCount=256&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",8,9,1385.8,256,512,"&particleCount=256&snapshotCount=512&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",8,10,2564.3,256,1024,"&particleCount=256&snapshotCount=1024&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",9,1,10.3,512,2,"&particleCount=512&snapshotCount=2&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",9,2,31.4,512,4,"&particleCount=512&snapshotCount=4&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",9,3,59.9,512,8,"&particleCount=512&snapshotCount=8&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",9,4,114.5,512,16,"&particleCount=512&snapshotCount=16&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",9,5,214.3,512,32,"&particleCount=512&snapshotCount=32&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",9,6,371,512,64,"&particleCount=512&snapshotCount=64&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",9,7,662.2,512,128,"&particleCount=512&snapshotCount=128&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",9,8,1305.7,512,256,"&particleCount=512&snapshotCount=256&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",9,9,2529.5,512,512,"&particleCount=512&snapshotCount=512&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",9,10,5092.1,512,1024,"&particleCount=512&snapshotCount=1024&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",10,1,26.2,1024,2,"&particleCount=1024&snapshotCount=2&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",10,2,56.1,1024,4,"&particleCount=1024&snapshotCount=4&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",10,3,114.1,1024,8,"&particleCount=1024&snapshotCount=8&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",10,4,207.6,1024,16,"&particleCount=1024&snapshotCount=16&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",10,5,377,1024,32,"&particleCount=1024&snapshotCount=32&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",10,6,675.2,1024,64,"&particleCount=1024&snapshotCount=64&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",10,7,1344.9,1024,128,"&particleCount=1024&snapshotCount=128&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",10,8,2497.3,1024,256,"&particleCount=1024&snapshotCount=256&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",10,9,5260.9,1024,512,"&particleCount=1024&snapshotCount=512&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","js",10,10,10788,1024,1024,"&particleCount=1024&snapshotCount=1024&pusher=js"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",1,1,8,2,2,"&particleCount=2&snapshotCount=2&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",1,2,2.1,2,4,"&particleCount=2&snapshotCount=4&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",1,3,2.4,2,8,"&particleCount=2&snapshotCount=8&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",1,4,3.3,2,16,"&particleCount=2&snapshotCount=16&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",1,5,3.9,2,32,"&particleCount=2&snapshotCount=32&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",1,6,5.3,2,64,"&particleCount=2&snapshotCount=64&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",1,7,7.5,2,128,"&particleCount=2&snapshotCount=128&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",1,8,11.7,2,256,"&particleCount=2&snapshotCount=256&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",1,9,29.5,2,512,"&particleCount=2&snapshotCount=512&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",1,10,54.5,2,1024,"&particleCount=2&snapshotCount=1024&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",2,1,1.5,4,2,"&particleCount=4&snapshotCount=2&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",2,2,1.8,4,4,"&particleCount=4&snapshotCount=4&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",2,3,1.8,4,8,"&particleCount=4&snapshotCount=8&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",2,4,3.1,4,16,"&particleCount=4&snapshotCount=16&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",2,5,3.5,4,32,"&particleCount=4&snapshotCount=32&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",2,6,5.3,4,64,"&particleCount=4&snapshotCount=64&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",2,7,7.8,4,128,"&particleCount=4&snapshotCount=128&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",2,8,12.3,4,256,"&particleCount=4&snapshotCount=256&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",2,9,27.5,4,512,"&particleCount=4&snapshotCount=512&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",2,10,45.3,4,1024,"&particleCount=4&snapshotCount=1024&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",3,1,1.4,8,2,"&particleCount=8&snapshotCount=2&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",3,2,1.7,8,4,"&particleCount=8&snapshotCount=4&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",3,3,2.5,8,8,"&particleCount=8&snapshotCount=8&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",3,4,3.3,8,16,"&particleCount=8&snapshotCount=16&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",3,5,4.6,8,32,"&particleCount=8&snapshotCount=32&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",3,6,5.2,8,64,"&particleCount=8&snapshotCount=64&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",3,7,7.2,8,128,"&particleCount=8&snapshotCount=128&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",3,8,12.1,8,256,"&particleCount=8&snapshotCount=256&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",3,9,28.5,8,512,"&particleCount=8&snapshotCount=512&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",3,10,44.6,8,1024,"&particleCount=8&snapshotCount=1024&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",4,1,1.5,16,2,"&particleCount=16&snapshotCount=2&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",4,2,1.9,16,4,"&particleCount=16&snapshotCount=4&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",4,3,2.4,16,8,"&particleCount=16&snapshotCount=8&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",4,4,3.2,16,16,"&particleCount=16&snapshotCount=16&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",4,5,4.5,16,32,"&particleCount=16&snapshotCount=32&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",4,6,5.1,16,64,"&particleCount=16&snapshotCount=64&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",4,7,7.2,16,128,"&particleCount=16&snapshotCount=128&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",4,8,11.6,16,256,"&particleCount=16&snapshotCount=256&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",4,9,27.7,16,512,"&particleCount=16&snapshotCount=512&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",4,10,46.2,16,1024,"&particleCount=16&snapshotCount=1024&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",5,1,1.5,32,2,"&particleCount=32&snapshotCount=2&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",5,2,1.8,32,4,"&particleCount=32&snapshotCount=4&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",5,3,2.7,32,8,"&particleCount=32&snapshotCount=8&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",5,4,3.1,32,16,"&particleCount=32&snapshotCount=16&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",5,5,3.4,32,32,"&particleCount=32&snapshotCount=32&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",5,6,5.4,32,64,"&particleCount=32&snapshotCount=64&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",5,7,7.6,32,128,"&particleCount=32&snapshotCount=128&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",5,8,12.2,32,256,"&particleCount=32&snapshotCount=256&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",5,9,28.6,32,512,"&particleCount=32&snapshotCount=512&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",5,10,45,32,1024,"&particleCount=32&snapshotCount=1024&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",6,1,1.9,64,2,"&particleCount=64&snapshotCount=2&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",6,2,2.2,64,4,"&particleCount=64&snapshotCount=4&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",6,3,1.9,64,8,"&particleCount=64&snapshotCount=8&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",6,4,3.1,64,16,"&particleCount=64&snapshotCount=16&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",6,5,3.9,64,32,"&particleCount=64&snapshotCount=32&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",6,6,5,64,64,"&particleCount=64&snapshotCount=64&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",6,7,6.7,64,128,"&particleCount=64&snapshotCount=128&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",6,8,11.5,64,256,"&particleCount=64&snapshotCount=256&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",6,9,28.7,64,512,"&particleCount=64&snapshotCount=512&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",6,10,43.7,64,1024,"&particleCount=64&snapshotCount=1024&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",7,1,1.4,128,2,"&particleCount=128&snapshotCount=2&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",7,2,1.7,128,4,"&particleCount=128&snapshotCount=4&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",7,3,1.8,128,8,"&particleCount=128&snapshotCount=8&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",7,4,3.6,128,16,"&particleCount=128&snapshotCount=16&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",7,5,3.6,128,32,"&particleCount=128&snapshotCount=32&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",7,6,4.8,128,64,"&particleCount=128&snapshotCount=64&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",7,7,7.6,128,128,"&particleCount=128&snapshotCount=128&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",7,8,11.8,128,256,"&particleCount=128&snapshotCount=256&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",7,9,27.1,128,512,"&particleCount=128&snapshotCount=512&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",7,10,43.6,128,1024,"&particleCount=128&snapshotCount=1024&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",8,1,1.6,256,2,"&particleCount=256&snapshotCount=2&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",8,2,2.1,256,4,"&particleCount=256&snapshotCount=4&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",8,3,1.8,256,8,"&particleCount=256&snapshotCount=8&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",8,4,3.2,256,16,"&particleCount=256&snapshotCount=16&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",8,5,3.6,256,32,"&particleCount=256&snapshotCount=32&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",8,6,4.9,256,64,"&particleCount=256&snapshotCount=64&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",8,7,7.6,256,128,"&particleCount=256&snapshotCount=128&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",8,8,10.9,256,256,"&particleCount=256&snapshotCount=256&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",8,9,26.8,256,512,"&particleCount=256&snapshotCount=512&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",8,10,45.8,256,1024,"&particleCount=256&snapshotCount=1024&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",9,1,1.8,512,2,"&particleCount=512&snapshotCount=2&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",9,2,1.9,512,4,"&particleCount=512&snapshotCount=4&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",9,3,1.9,512,8,"&particleCount=512&snapshotCount=8&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",9,4,2.9,512,16,"&particleCount=512&snapshotCount=16&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",9,5,3.5,512,32,"&particleCount=512&snapshotCount=32&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",9,6,4.8,512,64,"&particleCount=512&snapshotCount=64&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",9,7,7.3,512,128,"&particleCount=512&snapshotCount=128&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",9,8,11.8,512,256,"&particleCount=512&snapshotCount=256&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",9,9,28.5,512,512,"&particleCount=512&snapshotCount=512&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",9,10,45.1,512,1024,"&particleCount=512&snapshotCount=1024&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",10,1,2,1024,2,"&particleCount=1024&snapshotCount=2&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",10,2,1.8,1024,4,"&particleCount=1024&snapshotCount=4&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",10,3,2.2,1024,8,"&particleCount=1024&snapshotCount=8&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",10,4,3.2,1024,16,"&particleCount=1024&snapshotCount=16&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",10,5,4.3,1024,32,"&particleCount=1024&snapshotCount=32&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",10,6,3.9,1024,64,"&particleCount=1024&snapshotCount=64&pusher=glsl"
"2021-07-26T12:19:29.383Z","gyrotest-1-electron","glsl",10,7,7.5,1024,128,"&particleCount=1024&snapshotCount=128&pusher=glsl"
